drug	pathway	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	mean					Curcumin
Curcumin	KEGG_hsa04350	0.574199438	0.709739745	0.640360475	0.264439613	0.594238162	0.547759354	0.439798981	0.634823859	0.664538324	0.30399704	0.515818417	0.585837901	0.625235677	0.638342023	0.586371362	0.555033358					
Curcumin	KEGG_hsa04360	0.624678493	0.528707623	0.520303249	0.17756708	0.41280809	0.414611638	0.481175631	0.487531722	0.575161874	0.272337049	0.51160866	0.464041084	0.434647828	0.570841491	0.37511465	0.456742411					
Curcumin	KEGG_hsa04962	0.157132089	0.180479288	0.235832289	0.094095014	0.185046107	0.149326041	0.155535325	0.09267126	0.105920441	0.158508241	0.122921951	0.18969354	0.178909615	0.186169177	0.26911363	0.164090267					
Curcumin	KEGG_hsa05416	0.494334966	0.596077561	0.52576983	0.345421791	0.467719764	0.367532998	0.558025777	0.536569059	0.571790457	0.345951617	0.465860635	0.564317644	0.469055653	0.518152058	0.386274666	0.480856965					
Curcumin	KEGG_hsa05142	0.809101582	0.835877776	0.843245089	0.697085023	0.80522579	0.780185759	0.806866109	0.81258744	0.856016338	0.786635101	0.788294852	0.794629514	0.836860299	0.853688955	0.840373218	0.80977819					
Curcumin	KEGG_hsa05332	0.492676228	0.644390881	0.627645254	0.258285791	0.494208962	0.516236722	0.527206123	0.552155316	0.660318434	0.346161574	0.503359139	0.555046499	0.623404622	0.507185161	0.43877542	0.516470408					
Curcumin	KEGG_hsa04024	0.82500726	0.712350309	0.700414956	0.472388804	0.689723134	0.663387299	0.775972366	0.694667995	0.792990267	0.350471497	0.678187013	0.681588233	0.700315058	0.627280593	0.782891393	0.676509078					
Curcumin	KEGG_hsa04371	0.732691169	0.701583862	0.692630529	0.487564892	0.668815494	0.627324283	0.646894574	0.66508615	0.748386562	0.449920267	0.635959089	0.604878426	0.6787135	0.615440249	0.687412977	0.642886802					
Curcumin	KEGG_hsa00511	0.156442583	0.100800388	0.117540449	0.039893825	0.137611538	0.147114813	0.24027805	0.077219248	0.113022022	0.137028649	0.053636059	0.150575742	0.148766398	0.140795484	0.165175661	0.128393394					
Curcumin	KEGG_hsa04330	0.186383322	0.241292998	0.205172285	0.104434684	0.185369447	0.133269966	0.157018274	0.128654897	0.245212466	0.155088618	0.167816684	0.249398917	0.260904342	0.180663273	0.17402716	0.184980489					
Curcumin	KEGG_hsa05030	0.345523775	0.439383656	0.380424023	0.238720343	0.331268549	0.368414223	0.426463932	0.37450403	0.498716444	0.262863547	0.409056038	0.419011861	0.422642618	0.206735462	0.399013638	0.368182809					
Curcumin	KEGG_hsa00232	0.149792537	0.146888703	0.158178225	0.111078806	0.229112744	0.130593926	0.154731333	0.149837077	0.225077435	0.151659742	0.163796604	0.129913241	0.253056794	0.229487374	0.192073613	0.17168521					
Curcumin	KEGG_hsa04913	0.454478413	0.501626849	0.571890533	0.385306656	0.398206264	0.3906551	0.497868508	0.530888617	0.6135028	0.402934879	0.387001246	0.450544447	0.481425792	0.377902538	0.386401474	0.455375608					
Curcumin	KEGG_hsa04916	0.545989275	0.601259947	0.594973683	0.402533323	0.423396558	0.442275524	0.476549298	0.429687977	0.630333602	0.400478214	0.40435937	0.56453234	0.556286812	0.479355186	0.528385997	0.49869314					
Curcumin	KEGG_hsa05223	0.664747715	0.769117832	0.739659965	0.59162122	0.633751571	0.662535071	0.708313048	0.69259584	0.779848695	0.715985298	0.63612324	0.720858455	0.684978664	0.683623075	0.742912233	0.695111461					
Curcumin	KEGG_hsa04211	0.662746608	0.675246298	0.638670266	0.427790344	0.572091043	0.614031971	0.650465965	0.661550462	0.73932457	0.611811101	0.644682348	0.599240482	0.766358018	0.736149132	0.68571049	0.645724607					
