MOL1	MOL2	CLASS
CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	Cc1cccc(I)c1	1
OC1=CC=CC(=C1)C=O	CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]	0
OC(=O)c1cc2ccccc2cc1O	[O-][n+]1ccc(cc1)c1cc[n+]([O-])cc1	1
Nc1ccc(cc1)C(O)=O	NC1=NC=C(S1)N(=O)=O	1
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	C#Cc1ccc(Oc2nc(Oc3ccc(cc3)C#C)nc(Oc3ccc(cc3)C#C)n2)cc1	1
ClC1=C(Cl)C(=O)NC1=O	Nc1nc(N)c(Cl)cc1Cl	1
OC(=O)c1cccc(O)c1	c1cc(ccn1)C=Cc1ccncc1	1
Fc1c(F)c(I)c(F)c(F)c1I	c1ccc(nc1)c1cc(ccn1)c1ccc2ccccc2c1	1
NC(N)=O	c1cnccn1	1
c1cc(ccn1)c1ccncc1	OC(=O)COc1cc(Cl)c(Cl)cc1Cl	1
C1=CC=C2C(=C1)C=CC1=CC=CC=C21	O=[N+]([O-])C1=CC(=CC=C1)[N+](=O)[O-]	0
Cc1ccc(O)cc1	CC(C)N(C(C)C)C(=O)C(=O)N(C(C)C)C(C)C	1
ClC1=NC(=CC=C1)Cl	BrC1=CC=C(Br)C=C1	0
Fc1c(F)c(I)c(F)c(F)c1I	OC(=O)c1ccc(cc1)N=Cc1ccccc1O	1
CCN1C(=O)SC(C1=S)=C1SC(=O)N(CC)C1=S	c1cc2ccc3cccc4ccc(c1)c2c34	1
Fc1c(F)c(I)c(F)c(F)c1I	COc1cc(C=O)ccc1O	1
Nc1cccc2cccc(N)c12	Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F	1
O=N(=O)c1cccc2cnccc12	Nc1ccccc1C(O)=O	1
c1cc(ccn1)C=Cc1ccncc1	CNC(=S)NN=Cc1ccc(O)cc1O	1
OC(=O)C1=CC=CC=C1	NC1=CC=CC(=C1)C(O)=O	0
CC(=O)Nc1ccc(O)cc1	c1ccc2ccccc2c1	1
Cc1nc(C)c(C)nc1C	ON=Cc1c(F)c(F)c(I)c(F)c1F	1
O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12	c1ccc2c(c1)c1cccc3cccc2c13	1
CC(CCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C	CC1CCCCC1=O	1
CC(=O)N1N=C(CC1c1c2ccccc2cc2ccccc12)c1ccc(Cl)cc1	Oc1ccccc1	1
c1ccc2c(c1)[NH]=C1N(c3ccccc23)C(c2ccccc12)=C1N2c3ccccc3c3ccccc3[NH]=C2c2ccccc12	OC(=O)C(F)(F)F	1
CCC1C(C=C(C#N)N(C)c2ccccc2)C(C#N)(C#N)C1(C#N)C#N	N#CC(C#N)=C(C#N)C#N	1
OC(=O)c1ccccc1	Cc1cccc(NC(=O)C23CC4CC(CC(C4)C2)C3)n1	1
Cc1c(C)c(N)c(C)c(C)c1N	BrC1=C(Br)C(=O)C(=C(Br)C1=O)Br	1
CC(=O)c1cccc(n1)C(C)=O	Oc1cccc(O)c1	1
Oc1ccc(O)cc1	O1C(=NN=C1c1ccncc1)c1ccncc1	1
c1ccc2cc3ccccc3cc2c1	N1C2=C(c3ccccc3)C3=NC(=C(C4=CC=C(N4)C(=C4C=CC(=N4)C(=C1C=C2)c1ccccc1)c1ccccc1)c1ccccc1)C=C3	1
CC(=O)c1ccncc1	OC(=O)c1cccc(F)c1	1
c1cc(ccn1)c1ccncc1	OC(=O)CCN1C(=O)N(CCC(O)=O)C(=O)N(CCC(O)=O)C1=O	1
Cc1ccccc1NC(=O)Nc1ccc(cc1)N(=O)=O	N1C=Nc2ncccc12	1
C1=CC=C2C(=C1)C=CC1=CC=CC=C21	C1C2=CC=CC=C2C2=CC=CC=C12	0
OC(=O)C=CC(O)=O	COC1=CC=C(C=C1)C(O)=O	0
FC1=C(F)C(=O)C(=C(F)C1=O)F	c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61	1
Fc1c(F)c(N=Nc2c(F)c(F)c(I)c(F)c2F)c(F)c(F)c1I	C1CSCCS1	1
CN1Cc2ccc(CN(C)Cc3ccc(CN(C)Cc4ccc(CN(C)Cc5ccc(C1)cc5)cc4)cc3)cc2	O=C=O	1
Cc1ccc(cc1)S(O)(=O)=O	CN(C)C(=O)C1=C(c2ccc(C)cc2)c2ccccc2C1=C	1
Fc1c(F)c(I)c(F)c(F)c1I	Cc1cc2N=CN(Cc3ccncc3)c2cc1C	1
NC(=O)c1ccncc1	Oc1cccc(O)c1	1
NC(=O)c1cccnc1	OC(=O)CCCCCCCCC(O)=O	1
CN(C)C=NN=CN(C)C	CCOC(=O)c1ccccc1N	1
Oc1ccccc1O	C[S+](C)C1=C([O-])C(=O)C(=C([O-])C1=O)[S+](C)C	1
O=C1CCCN1	CC1=CC=CC=C1C(O)=O	0
C(N1C=CN=C1)c1cccnc1	FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I	1
NC(=O)C1=CC=CC=C1	CC1=CC=C(C=C1)C(O)=O	0
C(N1C=CN=C1C1=NC=CN1)c1cccnc1	OC(=O)CCCCCCCCC(O)=O	1
c1ccc2c(c1)ccc1cc3c(ccc4ccccc34)cc21	O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12	1
N1C=CN=C1c1cccnc1	Fc1c(I)c(F)c(I)c(F)c1I	1
C(Cc1ccncc1)Cc1ccncc1	Oc1ccc(O)cc1	1
OC(=O)CCCC(O)=O	CN1C(=O)N(C)C2=C(NC=N2)C1=O	1
OC(=O)C1=Cc2ccccc2N1	Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1	1
C(N1C=CN=C1C1=NC=CN1Cc1cccnc1)c1cccnc1	Fc1c(F)c(c(F)c(F)c1I)c1c(F)c(F)c(I)c(F)c1F	1
BrN1C(=O)CCC1=O	COC(=O)c1ccncc1	1
Fc1c(F)c(I)c(F)c(F)c1I	O=C(NCCCCNC(=O)Nc1cccnc1)Nc1cccnc1	1
Oc1cccc2c(O)cccc12	O=P(CCP(=O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	1
OC(=O)c1ccc(O)c(O)c1	c1cc(ccn1)C=Cc1ccncc1	1
COC1=CC(C(=CC1=C(C#N)C#N)OC)=C(C#N)C#N	C1COC2=C(O1)SC(S2)=C1SC2=C(SCCS2)S1	1
Fc1c(F)c(I)c(F)c(F)c1I	Cc1ccc(cc1)S(N)=O	1
N#CCCCC#N	C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1	1
Cc1ccncc1	Nc1ccc(cc1)S(=O)(=O)N=C1NC=CC=C1	1
NC1=NN=C(S1)c1ccc(Br)cc1	OC(=O)c1ccc(cc1)N(=O)=O	1
CC1(O)C2CCC3CC1CC(C2)C3(C)O	Oc1ccc(Cl)cc1	1
Oc1ccc(cc1)c1cc(cc(c1)c1ccc(O)cc1)c1ccc(O)cc1	O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	1
Fc1c(F)c(I)c(F)c(F)c1I	O=C1NCc2cccc(CNC(=O)NCc3cccc(CN1)n3)n2	1
c1cc2nc(c1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccc2cc1	CC(C)(C)c1cc(OCC#CC#CCOc2cc(cc(c2)C(C)(C)C)C(C)(C)C)cc(c1)C(C)(C)C	1
c1cc2ccc3cccc4ccc(c1)c2c34	Clc1c(Cl)c(C#N)c(Cl)c(Cl)c1C#N	1
CC1CCc2c(F)c(F)ccc2N1	OC(=O)C(OC(=O)c1ccccc1)C(OC(=O)c1ccccc1)C(O)=O	1
Fc1c(F)c(F)c(Br)c(Br)c1F	c1ccc2c(c1)c1cccc3cccc2c13	1
Oc1ccc(cc1)C(c1ccc(O)cc1)=C(c1ccc(O)cc1)c1ccc(O)cc1	c1cnc2c(c1)ccc1cccnc21	1
OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	N1C=CN=N1	1
C(Cc1ccncc1)Cc1ccncc1	Nc1ccc(cc1)C(O)=O	1
c1cc(ccn1)C=Cc1ccncc1	OC(=O)CSCC(O)=O	1
IN1C(=O)CCC1=O	[O-][n+]1ccccc1	1
NC(=O)c1ccncc1	CC(CC(O)=O)c1ccc(F)cc1	1
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I	O=C(NCCCCCCCCNC(=O)c1cccnc1)c1cccnc1	1
CCCNCCC	OC1(C#C)c2cccc(Cl)c2C(O)(C#C)c2cccc(Cl)c12	1
OC1=CC=C(O)C=C1	NC1=CC(=CC=C1)[N+](=O)[O-]	0
NC(=O)c1cnccn1	CCN(CC)C(=O)C(=Cc1cc(O)c(O)c(c1)N(=O)=O)C#N	1
ClC1=CC(=CN=C1)Cl	BrC1=CC=C(Br)C=C1	0
OC(=O)c1c(O)cc(O)cc1O	c1ccc2nc3ccccc3nc2c1	1
c1ccc2c(c1)c1ccccc1c1ccccc21	N#CC(=Cc1cc(cc(c1)C=C(C#N)C#N)C=C(C#N)C#N)C#N	1
N#Cc1ccncc1	IN1C(=O)CCC1=O	1
OC(CC(O)=O)C(O)=O	COC1=CC=CC=C1C(N)=O	0
ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl	COc1ccc(cc1)C1=NN(C(C1)c1c2ccccc2cc2ccccc12)C(C)=O	1
Oc1cccc(O)c1	O=C1C(CCCC1=Cc1ccncc1)=Cc1ccncc1	1
Cc1cccc(c1)C(O)=O	Cc1cc(Cl)nc(N)n1	1
OC(=O)CCSCCC(O)=O	COC1=CC=C(C=C1)C(O)=O	0
OC(=O)c1cccc(c1)C(O)=O	O1C(=NN=C1c1ccncc1)c1ccncc1	1
CC(C)CC1NC(=O)c2ccccc2N2C(=O)c3ccccc3C12O	CC(=O)CC(C)(C)O	1
BrC1=NOC(C1)C1CCCN1	OC(=O)C=CC(O)=O	1
CCCC(C)O	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#C	1
Fc1c(F)c(I)c(F)c(F)c1I	COc1cccc(C=Nc2cccc(c2)C(C)=O)c1O	1
CC(CCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C	C1C2C=CC1C=C2	1
NC1=CC(=CC=C1)[N+](=O)[O-]	O=[N+]([O-])C1=CC(=CC=C1)[N+](=O)[O-]	0
CC(=O)NC1=CC=C(O)C=C1	OC(=O)C1=C(O)C=CC(=C1)O	0
CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)CO)C1=NC(=O)NC(=O)C1=N2	CC1=CC(=CC=C1)C(N)=O	0
OC(=O)C1CCC(CC1)C(O)=O	O1C(=NN=C1c1ccncc1)c1ccncc1	1
CN1C=NC2=C1C(=O)N(C)C(=O)N2C	Nc1ccc(Cl)c(c1)N(=O)=O	1
CN1C=NC2=C1C(=O)N(C)C(=O)N2C	CC(O)=O	0
NC(N)=O	Cc1nc(C)c(C)[n+]([O-])c1C	1
Oc1ccc(Br)cc1	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	1
Cc1ccc(cc1)S(N)(=O)=O	COC(=O)[C-](C[P+](C(C)C)(C(C)C)C(C)C)C#N	1
NC(=O)c1ccc(O)cc1	CN1C(=O)N(C)C2=C(NC=N2)C1=O	1
NC1=Nc2ccccc2S1	CN(C)P(=O)(N(C)C)N(C)C	1
OC(=O)C1=CC=CC=C1	NC1=CC=CC2=CC=CC=C12	0
FC(Cl)Cl	CCC12COP3(OC1)(OC2)OOO3	1
OC(C(O)C(O)=O)C(O)=O	[NH3+]C(CC(N)=O)C(=O)[O-]	1
OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	Cc1cc(I)ccc1N	1
CC1c2cc(C(C)c3cc(C(C)c4cc(C(C)c5cc1c(O)cc5O)c(O)cc4O)c(O)cc3O)c(O)cc2O	c1cc(ccn1)c1ccncc1	1
c1cc2ccc3cccc4ccc(c1)c2c34	Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F	1
CC(=O)Oc1ccccc1C(O)=O	c1cc(ccn1)c1ccncc1	1
NC(=O)c1ccncc1	OC(=O)CCCCCCCCC(O)=O	1
C(Cc1ccncc1)c1ccncc1	OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O	1
O=C(c1ccccc1)c1ccncc1	OC(=O)c1cccc(Cl)c1N(=O)=O	1
Fc1c(F)c(I)c(F)c(I)c1F	Cc1cncc(C)c1	1
Fc1c(F)c(I)c(F)c(F)c1I	CC(O)=C(C(C)=O)c1ccncc1	1
NC(=O)c1ccncc1	COc1cc(ccc1O)C(O)=O	1
NC(=O)c1ccncc1	CC(CC(O)=O)c1ccccc1	1
CCCCCCCC(O)=O	COC1=CC=CC=C1C(O)=O	0
OC(=O)C1=CN=CC=C1	NC(=O)C1=CC(=CC=C1)N	0
COc1cc2N3C4C5C(CC3=O)OCC=C3CN6CCC4(C6CC53)c2cc1OC	OC1(CC2OC1C=C2)C#N	1
OC(=O)COc1ccccc1C=O	O=C1C(=O)c2cccnc2c2ncccc12	1
C(Cc1ccncc1)c1ccncc1	Oc1ccc(O)cc1	1
CN1C2C=C(C)C(C3C=C(C)C2C(=O)N3C)C1=O	OC(C#CC#CC(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	1
c1cc(ccn1)c1ccncc1	FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I	1
NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl	Nc1ccc(cc1)C(O)=O	1
Nc1ccc(cc1)N(=O)=O	COC(=O)c1cc(cc(c1O)N(=O)=O)N(=O)=O	1
CC(=O)c1cc2ccccc2c2ccccc12	N#Cc1cc(C#N)c(cc1C#N)C#N	1
c1cc(ccn1)c1ccncc1	OC(=O)c1ccc(cc1)C12CC3CC(C1)(CC(C3)(C2)c1ccc(cc1)C(O)=O)c1ccc(cc1)C(O)=O	1
C1CN2CCN1CC2	Oc1ccccc1	1
Cc1c(cc(cc1N(=O)=O)C(O)=O)N(=O)=O	c1cc(ccn1)c1ccncc1	1
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]	CC1=C([N+](=O)[O-])C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C	0
Oc1ccccc1O	Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CC2CCCC2C1	1
OC(=O)CCCCCCCCC(O)=O	CC(C(C)C(O)=O)C(O)=O	0
FC(F)(I)C(F)(F)I	O=C(NCCCCCCNC(=O)c1cccnc1)c1cccnc1	1
N1C=CC2=CC=CC=C12	CC1=CC2=CC=CC=C2C=C1	0
CC(C)(O)C#Cc1cccc(n1)C#CC(C)(C)O	O=P(c1ccccc1)(c1ccccc1)c1ccccc1	1
OC(=O)C1=CC=C(Cl)C=C1	OC(=O)C1=CC=C(O)C=C1	0
NC(=O)C1=CN=CC=C1	CC1=CC=C(C=C1)C(N)=O	0
OC(=O)c1ccccc1O	NC1=NC(=O)N(C=C1)C1OC(CO)C(O)C1O	1
NC(=O)c1ccc(O)cc1	OC(=O)CCCCCC(O)=O	1
NC(=S)c1ccccc1	O=P(c1ccccc1)(c1ccccc1)c1ccccc1	1
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	1
O=C([O-])C1[NH2+]CCC1	CC(C)c1cc(C(C)C)c(C(=O)c2ccc(cc2)C(O)=O)c(c1)C(C)C	1
N=C1N2C(=Nc3ccccc23)Sc2ccccc12	N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	1
C(Cc1ccncc1)c1ccncc1	CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1	1
OC(C(O)=O)c1ccccc1	c1cc(ccn1)c1ccncc1	1
OC(=O)COc1ccc(OCC(O)=O)cc1	S(Sc1ccncc1)c1ccncc1	1
OC1=C(Br)C(=O)C(=C(Br)C1=O)O	c1ccc2nc3ccccc3nc2c1	1
N#CC(C#N)c1ccc(cc1)c1ccc(cc1)C(C#N)C#N	c1ccc2nc3ccccc3nc2c1	1
Oc1c(F)c(F)c(I)c(F)c1F	CCCCCCOc1ccc(cc1)C=Cc1ccncc1	1
NC(=O)c1ccc(Br)cc1	OC(=O)C=CC(O)=O	1
Clc1ccc(cc1)C1CC(=NN1C1=NC(=C(S1)N1C=NC=N1)c1ccccc1)c1ccc(Cl)cc1	Clc1ccc(cc1)C1CC(=NN1C1=NC(=C(S1)[C-]1C=CC=C1)[n+]1cnccn1)c1ccc(Cl)cc1	1
CC(C)C1=C(C=NN1)C#N	CC(C)C1=NNC=C1C#N	1
Fc1c(F)c(I)c(F)c(F)c1I	COc1ccc2cc(C=O)ccc2c1	1
Fc1c(F)c(I)c(F)c(F)c1I	C1=CN2C(=N1)N1C=CN=C1N1C=CN=C21	1
CCCCCCc1ccccc1	CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	1
FC1=CNC(=O)NC1=O	c1ccc(C=Cc2ccccn2)nc1	1
Fc1cc(F)c(F)c(c1F)c1c(F)c(F)cc(F)c1F	c1cc(ccn1)C=Cc1ccncc1	1
COc1ccc(OC)c(C=Cc2cc(OC)ccc2OC)c1	N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	1
NC(=O)c1ccncc1	OC(=O)C1=CC(=NN1)C(O)=O	1
c1ccc(C=Cc2ccncc2)nc1	OC(=O)c1ccc(cc1)C(O)=O	1
NC(=O)c1ccccc1F	O=S1(=O)NC(=S)c2ccccc12	1
CCCCN1C=C(C)C(=O)NC1=O	O=C1CCCOc2ccc3ccc(OCCCC(=O)Nc4cccc(N1)n4)cc3c2	1
CC(CCC=C(C)C)CC=O	Oc1cc(O)cc(c1)c1c2ccccc2c(c2cc(O)cc(O)c2)c2ccccc12	1
Clc1ccc(OC2=NC3=C(SC(=S)N3c3ccccc3)C(=O)N2c2ccccc2)cc1	Oc1ccc(Cl)cc1	1
Fc1c(F)c(F)c(NC(=O)Nc2c(F)c(F)c(F)c(F)c2F)c(F)c1F	O=C(Nc1ccccc1)Nc1ccccc1	1
Cc1ccc(cc1)C(O)=O	CCC(=O)Nc1cccc(C)n1	1
[O]n1ccc(cc1)c1ccn([O])cc1	NS(=O)(=O)c1ccccc1Br	1
NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl	CN(C)c1ccncc1	1
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O	c1cc(ccn1)N=Nc1ccncc1	1
O=Cc1ccccc1	CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	1
O=C(N1CCCCC1)C(=O)c1ccccc1	OC(C#CC#CC(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	1
Fc1c(F)c(F)c(I)c(I)c1F	S=C1Nc2ccccc2N1	1
[O-]c1ccccc1C1=[NH+]CCN1	Oc1ccccc1	1
COc1ccc([nH+]n1)[N-]S(=O)(=O)c1ccc(N)cc1	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	1
NC(N)=O	OCC1OC(O)C(O)C(O)C1O	1
O=C1NC(=C2C(=O)NC(=C12)C1=CC=CO1)C1=CC=CO1	CCCCCCCCC(O)=O	1
Oc1ccccc1F	CCCCCCCCOc1ccc(cc1)C=Cc1ccncc1	1
FC1=C(F)C(=O)C(=C(F)C1=O)F	c1ccc2c(c1)ccc1c3ccccc3ccc21	1
O=S1CCS(=O)CC1	Oc1c(F)c(F)c(Br)c(F)c1F	1
Cc1ccc2ccccc2n1	OC(=O)C=CC(O)=O	1
CC(=CC(O)=O)C(O)=O	c1ccc2nc3ccccc3nc2c1	1
Oc1ccc2ccc(O)cc2c1	N1C=NC=N1	1
COc1ccc(CN2CCOCCOCCN(CCOCCOCC2)Cc2ccc(OC)cc2)cc1	NC(=S)C(N)=S	1
Oc1cccc(c1)c1ccc(cc1)C(c1ccc(cc1)c1cccc(O)c1)(c1ccc(cc1)c1cccc(O)c1)c1ccc(cc1)c1cccc(O)c1	O=C1C=CC(=O)C=C1	1
Fc1c(F)c(F)c(I)c(I)c1F	COc1cccc(C=Nc2ccc(cc2)C#N)c1O	1
CC(N1COc2c(C1)cc(cc2C(C)(C)C)C(C)(C)C)c1ccccc1	CC(C)(C)c1ccc(O)c(c1)C(C)(C)C	1
OC(=O)CC(=CC(O)=O)C(O)=O	OC(=O)C1=CC=CC=C1[N+](=O)[O-]	0
OC(C1OC2(CCCCC2)OC1C(O)(c1ccc(F)cc1)c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1	BrC1CCCCC1	1
C(Cc1ccncc1)c1ccncc1	Oc1ccc(Cl)c(O)c1	1
CC(C)(OO)OO	O=P(C1CCCCC1)(C1CCCCC1)C1CCCCC1	1
CP(=O)(c1ccccc1)c1ccccc1	FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I	1
NC(N)=O	ON=CC1=CC=C(O1)N(=O)=O	1
S(c1ccncc1)c1ccncc1	OC(=O)c1cccc(c1)C(O)=O	1
Nc1ccc(I)c(c1)N(=O)=O	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	1
CC(C)(C)[P](=O)c1ccccc1	OC(C(O)=O)c1ccccc1	1
OC(=O)c1cccc(Cl)c1	Nc1cccc(Cl)n1	1
OC(=O)C1=CN=CC=C1	CC1=CC=CC=C1C(N)=O	0
OC(=O)c1cc(O)ccc1O	CCOc1ccccc1C(N)=O	1
Cc1cc2N=CN(Cc3cccnc3)c2cc1C	Fc1c(I)c(F)c(I)c(F)c1I	1
C1=CC=C2C(=C1)C=CC1=CC=CC=C21	OC(=O)C1=CC=CC=C1O	0
OC(C#CC#CC(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	Cc1ccnc(C)c1	1
IC#Cc1cccc2cc3cccc(C#CI)c3cc12	c1cc(ccn1)C=Cc1ccncc1	1
ON=C(C#N)c1cccc(Cl)c1	C(N1C=Nc2ccccc12)c1ccc(CN2C=Nc3ccccc23)cc1	1
OC(=O)c1ccccc1c1ccccc1C(O)=O	O=C1NC=CC=C1	1
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1	CC(=O)Nc1ccc(cc1)S(N)(=O)=O	1
N#Cc1cc(C#N)c(cc1C#N)C#N	N#CC(=Cc1c2ccccc2cc2ccccc12)c1ccccc1	1
C1=CC=C2C=CC=CC2=C1	NCCCCCCN	0
CC1=NNC(S1)=NS(=O)(=O)c1ccc(N)cc1	c1cc(ccn1)c1ccncc1	1
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O	S1C=CSC1=C1SC=CS1	1
OC(=O)c1ccc(Cl)cc1Cl	Cc1nc(C)c(Cl)c(N)n1	1
CC1(C)OC(C(O1)C(O)(c1ccccc1)c1ccccc1)C(O)(c1ccccc1)c1ccccc1	CCCNCCC	1
S1c2ccccc2C2=C1c1ccccc1S2	FC1=C(F)C(C(=C(F)C1=C(C#N)C#N)F)=C(C#N)C#N	1
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1	CC(O)=S	1
Fc1c(F)c(I)c(F)c(F)c1I	c1ccc2nccnc2c1	1
OC1(C#Cc2c3ccccc3c(C#CC3(O)c4ccccc4c4ccccc34)c3ccccc23)c2ccccc2c2ccccc12	Cc1cccnc1C	1
[NH3+]C(CCSC)C(=O)[O-]	[NH3+]C(CCC)C(=O)[O-]	1
Cc1cc(C)nc(N)n1	OC(=O)C1=CC=C(S1)C(O)=O	1
OC(=O)c1ccccc1O	CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C	1
O=S(Cc1ccccc1)Cc1ccccc1	NS(=O)(=O)c1ccccc1	1
COc1ccc(cc1)C(O)=O	c1cc(ccn1)c1ccncc1	1
CN1C=NC2=C1C(=O)NC(=O)N2C	OC(=O)c1ccc(O)c(O)c1	1
O=C(C=Cc1ccc2ccc3cccc4ccc1c2c34)c1ccccc1	N#Cc1cc(C#N)c(cc1C#N)C#N	1
CN(C)C(=NN=C1Sc2ccccc2N1C)N(C)C	N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	1
Nc1nc(Nc2ccccc2)nc(Nc2ccccc2)n1	CC1(C)C(=O)NC(=O)NC1=O	1
N1C2=CC=CC=C2SC2=CC=CC=C12	OC1=CC2=CC=CC=C2C=C1	0
CC(C)CCCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	Oc1ccc(Br)cc1	1
Cc1cc(cc(C)c1N)c1cc(C)c(N)c(C)c1	ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl	1
OC(=O)CC1=CC=CC=C1	OC(=O)C1=CC=CC=C1	0
CC(C)(C)P(=O)c1ccccc1	Oc1ccc2ccccc2c1c1c(O)ccc2ccccc12	1
Fc1c(F)c(I)c(F)c(I)c1F	c1cncc(c1)c1cc(c2cccnc2)c(cc1c1cccnc1)c1cccnc1	1
OC(=O)c1cccc(F)c1F	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	1
Fc1ccc(I)cc1	CN(C)c1ccncc1	1
CC1(C)C2CCC1(C)C(=O)C2	CC(C)(CO)CO	0
Nc1ccc(cn1)N(=O)=O	OC(=O)c1ccc(cc1Cl)N(=O)=O	1
C#C	Fc1c(F)c(F)c(F)c(F)c1F	1
c1cnccn1	CCCCCCCC(O)=O	1
[O-][N+]12CC[N+]([O-])(CC1)CC2	OC(C(O)C(O)=O)C(O)=O	1
Oc1ccccc1C(c1cc(O)c(O)c(O)c1)c1ccccc1O	c1cnccn1	1
OC(C(O)C(O)=O)C(O)=O	C[N+]1(CC[N+](C)(CC1)CC(=O)[O-])CC(=O)[O-]	1
CC(=O)NC1=CC=C(O)C=C1	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	0
c1ccc(nc1)c1ccccn1	Oc1cc(O)c(Cl)cc1Cl	1
C(Cc1ccncc1)c1ccncc1	NC1=NC(=CS1)C1=CSC(=N1)N	1
NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12	OC(C(O)C(O)=O)C(O)=O	0
Fc1c(F)c(I)c(F)c(I)c1F	O=C(NCc1ccncc1)C(=O)NCc1ccncc1	1
OC(=O)c1cc(Cl)ccc1O	CN1C(=O)N(C)C2=C(NC=N2)C1=O	1
CC1(C)OC(C(O1)C(O)(c1ccccc1)c1ccccc1)C(O)(c1ccccc1)c1ccccc1	CCCN	1
Brc1ccccn1	OC(=O)c1ccc(cc1Cl)N(=O)=O	1
Cc1ccccc1NN=Nc1ccccc1C	Cc1ccccc1N	1
OC(=O)c1ccccc1O	CC1(O)CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C	1
Fc1c(F)c(I)c(F)c(F)c1I	c1ccc2c(c1)ccc1ncccc21	1
NC(=O)Nc1ccc(Br)cc1	Brc1ccc(NC(=O)NC(=O)CC2=C(CCCC2)C(C#N)C(=O)Nc2ccc(Br)cc2)cc1	1
NC(=O)c1ccncc1	CCC(C(O)=O)c1ccccc1	1
O=C(C1=Nc2ccccc2N1)C1=Nc2ccccc2N1	C(C1=Nc2ccccc2N1)C1=Nc2ccccc2N1	1
Oc1cccc(c1)C#N	c1cc(ccn1)C=Cc1ccncc1	1
Cc1cnccn1	CNC(N)=S	1
Fc1c(F)c(I)c(F)c(F)c1I	CP(=O)(c1ccccc1)c1ccccc1	1
COc1cc[n+]([O-])cc1	Oc1ccc(cc1)N(=O)=O	1
