MOL1	MOL2	CLASS
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]	CC1=C([N+](=O)[O-])C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C	0
O=C1C=CC(=O)C=C1	Oc1ccc(Cc2ccc(O)cc2)cc1	1
O=N(=O)c1ccc(cc1)N=Nc1ccc(cc1)N(=O)=O	Fc1c(F)c(N=Nc2c(F)c(F)c(I)c(F)c2F)c(F)c(F)c1I	1
CC(C)(C)c1ccc(O)c(c1)C(C)(C)C	C1CCC(CC1)NC1CCCCC1	1
c1cc(ccn1)C=Cc1ccncc1	OC(=O)c1c(F)cccc1F	1
c1ccc(cc1)C(c1cc2ccccc2c2ccccc12)=C(c1ccccc1)c1cc2ccccc2c2ccccc12	CCCC	1
C1=CC=C(C=C1)C(C1=CC=CC=C1)C1=CC=CC=C1	C1=CC=C(C=C1)C1=CC=CC=C1	0
C[N+]1([O-])CCOCC1	OC(O)C(Cl)(Cl)Cl	1
Cc1c(C)c(C)c2c(c1C)C1(C)OOC2(C)C(=C1C)C	N#CC(C#N)=C(C#N)C#N	1
OC(C(O)C(O)(c1ccccc1)c1ccccc1)C(O)(c1ccccc1)c1ccccc1	CNc1ccccc1	1
CC1=C(C)SC(S1)=C1SC(=C(C)S1)C	O=N(=O)c1ccc(cc1)N(=O)=O	1
COc1ccc2cc(ccc2c1)C(C)C(O)=O	[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-]	1
CCOC(=O)C12CCC(NC1=O)(C(=O)N2)C(=O)OCC	CCCOC(=O)C12CCC(NC1=O)(C(=O)N2)C(=O)OCCC	1
Cc1c(C)c(C)c(C)c(C)c1C	N#Cc1cc(cc(c1)C#N)C#N	1
NC(N)=O	OC(=O)C1=CC=CC=C1	0
OC(=O)CCCCC(O)=O	NC1=Nc2ccc(OC(F)(F)F)cc2S1	1
Nc1nc(N)nc(n1)c1ccccc1	NC(=O)N1c2ccccc2C=Cc2ccccc12	1
Oc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O	CN1C=C(N=C1N(=O)=O)N(=O)=O	1
Cc1c(Cl)cccc1Nc1ncccc1C(O)=O	O=C([O-])C1[NH2+]CCC1	1
OC(=O)COc1ccc(C=O)cc1	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	1
O=C(C1=CC=CC=C1)C(=O)C1=CC=CC=C1	OC(=O)C1=CC=CC=C1	0
FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=Cc1ccc(cc1)C=C(C#N)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C#N	Cc1cc(C)cc(C=Cc2ccc(cc2)C=Cc2cc(C)cc(C)c2)c1	1
CC(CCC(N)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	CC(O)C(C)(C)C	1
CC1=C(C)SC(S1)=C1SC(=C(C)S1)C	N#Cc1cc(C#N)c(cc1C#N)C#N	1
CS(=O)(=O)c1ccc(cc1)C1=CN=C2C=CC(=NN12)c1cccc(c1)S(C)(=O)=O	OC(=O)C=CC(O)=O	1
CC1=NC=C(CO)C(=C1O)CO	NC(=O)C1=CC(=CC=C1)[N+](=O)[O-]	0
CC(C)C1CCC(C)CC1O	OC(=O)C1=CC=CC=C1O	0
CC1(C)N([O])C(=N([O])C1(C)C)c1ccc(O)cc1	O=P(c1ccccc1)(c1ccccc1)c1ccccc1	1
OC(C1OC2(CCCC2)OC1C(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	CCCN(CC=C)C(=O)C1=CC(=O)CCC1	1
OC(=O)c1cc(O)cc(O)c1	c1cc(ccn1)c1ccncc1	1
COc1ccccc1OC	N#CC(C#N)=C(C#N)C#N	1
O=C([O-])CCC(=O)NN=C(Nc1[nH+]cccc1)c1ccccn1	OC(=O)CCC(=O)NN=C(Nc1ccccn1)c1ccccn1	1
Oc1cc(O)c2C(=O)C(=C(Oc2c1)c1ccc(O)c(O)c1)O	Cc1nc(C)c(C)nc1C	1
C#Cc1ccc(cc1)C#C	c1cc(ccn1)C=Cc1ccncc1	1
OC1=CC=C(C=C1)C1=CC=CC=C1	NC1=CC=CC=C1[N+](=O)[O-]	0
NC(CCC(O)=O)C(O)=O	OC(=O)C1=CC=C(O)C=C1	0
O=C1CCC(=O)N1	OC(=O)c1cc(O)c(O)c(O)c1	1
Nc1ccc(C(O)=O)c(O)c1	NC(=O)N1c2ccccc2C=Cc2ccccc12	1
Cc1cc(Br)ccc1N	OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	1
O=C1CC(=O)NC(=S)N1	NC(N)=S	1
OC(CC(O)=O)C(O)=O	OC(C(O)C(O)=O)C(O)=O	1
C1COC2=C(O1)SC(S2)=C1SC2=C(OCCO2)S1	N#CC(C#N)c1ccc(cc1)c1ccc(cc1)C(C#N)C#N	1
S1c2ccccc2Sc2ccccc12	O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12	1
Brc1c(c(Br)c(c(Br)c1N(=O)=O)N(=O)=O)N(=O)=O	O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	1
OC(=O)c1cc(F)c(F)cc1F	CN1C(=O)N(C)C2=C(NC=N2)C1=O	1
