drug	pathway
Ginsenoside Ro	KEGG_hsa04360	1
Ginsenoside Ro	KEGG_hsa00620	1
Ginsenoside Ro	KEGG_hsa03018	1
Ginsenoside Ro	KEGG_hsa00630	1
Ginsenoside Ro	KEGG_hsa00562	1
Ginsenoside Ro	KEGG_hsa00740	1
Ginsenoside Ro	KEGG_hsa04940	1
Ginsenoside Ro	KEGG_hsa03430	1
Ginsenoside Ro	KEGG_hsa04392	1
Ginsenoside Ro	KEGG_hsa05224	1
Ginsenoside Ro	KEGG_hsa04662	1
Ginsenoside Ro	KEGG_hsa05100	1
Ginsenoside Ro	KEGG_hsa00603	1
Ginsenoside Ro	KEGG_hsa04140	1
Ginsenoside Ro	KEGG_hsa04015	1
Ginsenoside Ro	KEGG_hsa00062	1
Ginsenoside Ro	KEGG_hsa00100	1
Ginsenoside Ro	KEGG_hsa04666	1
Ginsenoside Ro	KEGG_hsa04080	1
Ginsenoside Ro	KEGG_hsa05216	1
Ginsenoside Ro	KEGG_hsa00340	1
Ginsenoside Ro	KEGG_hsa04270	1
Ginsenoside Ro	KEGG_hsa03030	1
Ginsenoside Ro	KEGG_hsa00140	1
Ginsenoside Ro	KEGG_hsa04966	1
Ginsenoside Ro	KEGG_hsa04071	1
Ginsenoside Ro	KEGG_hsa04062	1
Ginsenoside Ro	KEGG_hsa04722	1
Ginsenoside Ro	KEGG_hsa05033	1
Ginsenoside Ro	KEGG_hsa04913	1
Ginsenoside Ro	KEGG_hsa04923	1
Ginsenoside Ro	KEGG_hsa00052	1
Ginsenoside Ro	KEGG_hsa00534	1
Ginsenoside Ro	KEGG_hsa00591	1
Ginsenoside Ro	KEGG_hsa04727	1
Ginsenoside Ro	KEGG_hsa05323	1
Ginsenoside Ro	KEGG_hsa00440	1
Ginsenoside Ro	KEGG_hsa04072	1
Ginsenoside Ro	KEGG_hsa00310	1
Ginsenoside Ro	KEGG_hsa00520	1
Ginsenoside Ro	KEGG_hsa04620	1
Ginsenoside Ro	KEGG_hsa03050	1
Ginsenoside Ro	KEGG_hsa00120	1
Ginsenoside Ro	KEGG_hsa04350	1
Ginsenoside Ro	KEGG_hsa04726	1
Ginsenoside Ro	KEGG_hsa04216	1
Ginsenoside Ro	KEGG_hsa05320	1
Ginsenoside Ro	KEGG_hsa00330	1
Ginsenoside Ro	KEGG_hsa05203	1
Ginsenoside Ro	KEGG_hsa04657	1
Ginsenoside Ro	KEGG_hsa00601	1
Ginsenoside Ro	KEGG_hsa05219	1
Ginsenoside Ro	KEGG_hsa05133	1
Ginsenoside Ro	KEGG_hsa04720	1
Ginsenoside Ro	KEGG_hsa05206	1
Ginsenoside Ro	KEGG_hsa04914	1
Ginsenoside Ro	KEGG_hsa00230	1
Ginsenoside Ro	KEGG_hsa04672	1
Ginsenoside Ro	KEGG_hsa04950	1
Ginsenoside Ro	KEGG_hsa05212	1
Ginsenoside Ro	KEGG_hsa00280	1
Ginsenoside Ro	KEGG_hsa04961	1
Ginsenoside Ro	KEGG_hsa04068	1
Ginsenoside Ro	KEGG_hsa00480	1
Ginsenoside Ro	KEGG_hsa05160	1
Ginsenoside Ro	KEGG_hsa05340	1
Ginsenoside Ro	KEGG_hsa04973	1
Ginsenoside Ro	KEGG_hsa05010	1
Ginsenoside Ro	KEGG_hsa04115	1
Ginsenoside Ro	KEGG_hsa05330	1
Ginsenoside Ro	KEGG_hsa04925	1
Ginsenoside Ro	KEGG_hsa00512	1
